name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_adventure,genre_mystery,genre_horror,genre_fantasy,director_top,runtime
Buddha Mil Gaya,,138 min,"Musical, Mystery, Drama",7.0,244.0,Hrishikesh Mukherjee,Navin Nischol,Om Prakash,Archana,1,0,0,0,0,0,0,1,0,1,0,0,Hrishikesh Mukherjee,
Buddha.mov,,70 min,,6.7,33.0,Kabir Mehta,,,,0,0,0,0,0,0,0,0,0,0,0,0,other,
Budhia Singh: Born to Run,,112 min,"Biography, Drama, Sport",7.6,,Soumendra Padhi,Manoj Bajpayee,Mayur Mahendra Patole,Gajraj Rao,1,0,0,0,0,0,0,0,0,0,0,0,other,
Budtameez,,145 min,"Comedy, Drama, Romance",7.4,78.0,Manmohan Desai,Shammi Kapoor,Sadhana,Laxmi Chhaya,1,0,1,1,0,0,0,0,0,0,0,0,Manmohan Desai,
Bulandi,,175 min,"Action, Drama",5.4,633.0,Rama Rao Tatineni,Anil Kapoor,Rekha,Raveena Tandon,1,1,0,0,0,0,0,0,0,0,0,0,Rama Rao Tatineni,
Bulbbul,,94 min,"Drama, Horror, Mystery",6.6,,Anvita Dutt,Tripti Dimri,Avinash Tiwary,Rahul Bose,1,0,0,0,0,0,0,0,0,1,1,0,other,
Bulbul Can Sing,,95 min,Drama,6.8,323.0,Rima Das,Pakija Begam,Arnali Das,Manabendra Das,1,0,0,0,0,0,0,0,0,0,0,0,other,
Bulbule,,119 min,Comedy,7.8,25.0,Jagat Joon,Md. Faiz Alam,Amaresh Banerjee,Anubhav Dixit,0,0,0,1,0,0,0,0,0,0,0,0,other,
Bull BulBul Bandook,,,"Action, Romance, Western",4.8,17.0,Karan Butani,Dheerendra Dwivedi,Kay Kay Menon,Shriya Saran,0,1,1,0,0,0,0,0,0,0,0,0,other,
Bullet,,124 min,"Action, Crime, Thriller",6.9,75.0,Vijay Anand,Dev Anand,Parveen Babi,Rakesh Roshan,0,1,0,0,1,1,0,0,0,0,0,0,other,
Bullet: Ek Dhamaka,,137 min,"Action, Drama",3.6,49.0,Irfan Khan,Saayli Buva,Natalya Gudkova,Iqbal Khan,1,1,0,0,0,0,0,0,0,0,0,0,other,
Bullett Raja,,138 min,"Action, Crime, Drama",5.0,,Tigmanshu Dhulia,Saif Ali Khan,Sonakshi Sinha,Vidyut Jammwal,1,1,0,0,1,0,0,0,0,0,0,0,other,
Bulund,,,Action,5.7,138.0,M.R. Shahjahan,Somy Ali,Mohnish Bahl,Laxmikant Berde,0,1,0,0,0,0,0,0,0,0,0,0,other,
Bulundi,,,"Action, Crime, Drama",6.6,106.0,Esmayeel Shroff,Helen,Asha Parekh,Raaj Kumar,1,1,0,0,1,0,0,0,0,0,0,0,other,
Bumboo,,126 min,Comedy,6.0,982.0,Jagdish Rajpurohit,Kavin Dave,Sharat Saxena,Sanjay Mishra,0,0,0,1,0,0,0,0,0,0,0,0,other,
Bumm Bumm Bole,,124 min,"Drama, Family, Thriller",6.1,616.0,Priyadarshan,Atul Kulkarni,Rituparna Sengupta,Darsheel Safary,1,0,0,0,0,1,1,0,0,0,0,0,Priyadarshan,
Bumper Draw,,130 min,Comedy,4.8,41.0,Irshad Khan,Rajpal Yadav,Omkar Das Manikpuri,Subrat Dutta,0,0,0,1,0,0,0,0,0,0,0,0,other,
Bundal Baaz,,,"Comedy, Fantasy, Romance",6.6,56.0,Shammi Kapoor,Rajesh Khanna,Shammi Kapoor,Sulakshana Pandit,0,0,1,1,0,0,0,0,0,0,0,1,other,
Buniyaad,,,"Drama, Family",5.7,6.0,Virendra Sinha,Rakesh Roshan,Shatrughan Sinha,Yogeeta Bali,1,0,0,0,0,0,1,0,0,0,0,0,other,
Bunker,,98 min,"Drama, War",6.8,82.0,Jugal Raja,Abhijeet Singh,Arindita Kalita,Gaurav Gupta,1,0,0,0,0,0,0,0,0,0,0,0,other,
Bunty Aur Babli,,170 min,"Comedy, Crime, Drama",6.2,,Shaad Ali,Abhishek Bachchan,Rani Mukerji,Amitabh Bachchan,1,0,0,1,1,0,0,0,0,0,0,0,other,
Burmah Road,,,Romance,6.1,8.0,Tara Harish,Ashok Kumar,Sheikh Mukhtar,Kumkum,0,0,1,0,0,0,0,0,0,0,0,0,other,
Buzdil,,,"Drama, Family",6.4,8.0,Shaheed Latif,Prem Nath,Nimmi,Kishore Sahu,1,0,0,0,0,0,1,0,0,0,0,0,other,
Bye Bye Miss Goodnight,,78 min,"Comedy, Drama",6.1,16.0,Karan Kandhari,Neha Dubey,Zafar Karachiwala,Rajpal Yadav,1,0,0,1,0,0,0,0,0,0,0,0,other,
Bye2,,48 min,"Drama, Romance",8.1,29.0,Tanveer Hashmi,Karan,Shreya Tyagi,,1,0,1,0,0,0,0,0,0,0,0,0,other,
Bypass Road,,137 min,"Drama, Mystery, Thriller",5.4,890.0,Naman Nitin Mukesh,Neil Nitin Mukesh,Adah Sharma,Gul Panag,1,0,0,0,0,1,0,0,0,1,0,0,other,
C Kkompany,,127 min,"Comedy, Drama, Thriller",5.4,,Sachin Yardi,Tusshar Kapoor,Anupam Kher,Rajpal Yadav,1,0,0,1,0,1,0,0,0,0,0,0,other,
C U at 9,,95 min,"Drama, Horror, Mystery",4.1,66.0,Marion Rodrigues,Isaiah,Malavikka,Kanksha,1,0,0,0,0,0,0,0,0,1,1,0,other,
C.I.D.,,146 min,"Action, Crime, Musical",7.3,647.0,Raj Khosla,Dev Anand,Shakila,Johnny Walker,0,1,0,0,1,0,0,1,0,0,0,0,Raj Khosla,
C.I.D.,,,"Action, Drama",4.7,65.0,Ajay Goel,Vinod Khanna,Amrita Singh,Suresh Oberoi,1,1,0,0,0,0,0,0,0,0,0,0,other,
C.I.D. 909,,123 min,"Action, Crime, Drama",5.8,17.0,Mohammed Hussain,Feroz Khan,Mumtaz,Helen,1,1,0,0,1,0,0,0,0,0,0,0,other,
Cabaret,,95 min,"Drama, Musical, Thriller",3.4,175.0,Kaustav Narayan Niyogi,Akshay Anand,Richa Chadha,Gulshan Devaiah,1,0,0,0,0,1,0,1,0,0,0,0,other,
Calapor,,120 min,Drama,4.5,6.0,Dinesh P. Bhonsle,Hemant Gopal,Rituparna Sengupta,Akash Sharma,1,0,0,0,0,0,0,0,0,0,0,0,other,
Calcutta Mail,,128 min,"Action, Drama, Mystery",5.7,480.0,Sudhir Mishra,Anil Kapoor,Rani Mukerji,Manisha Koirala,1,1,0,0,0,0,0,0,0,1,0,0,other,
Calendar Girls,,131 min,Drama,4.2,862.0,Madhur Bhandarkar,Akanksha Puri,Avani Modi,Kyra Dutt,1,0,0,0,0,0,0,0,0,0,0,0,other,
Call,,176 min,"Action, Drama, Romance",6.8,,Rajkumar Santoshi,Anil Kapoor,Madhuri Dixit,Namrata Shirodkar,1,1,1,0,0,0,0,0,0,0,0,0,other,
Call for Fun,,126 min,Comedy,5.6,36.0,Janak Toprani,Priyanka Arya,Charu Asopa,Yash Chaturvedi,0,0,0,1,0,0,0,0,0,0,0,0,other,
Call Girl,,,"Drama, Family, Romance",6.6,24.0,Vijay Kapoor,Zaheera,Vikram Makandar,Iftekhar,1,0,1,0,0,0,1,0,0,0,0,0,other,
Cape Karma,,90 min,"Drama, Mystery, Thriller",4.2,141.0,Pankaj Advani,Rahul Dev,Audrie Woodhouse,Gulshan Grover,1,0,0,0,0,1,0,0,0,1,0,0,other,
Captain Barry,,,Action,3.2,5.0,Surjit Gill,Sunil Dhawan,Uma Dhawan,Benjamin Gilani,0,1,0,0,0,0,0,0,0,0,0,0,other,
Captain Nagarjuna,,134 min,"Drama, Romance",6.5,13.0,Rajendra Prasad V.B.,Nagarjuna Akkineni,Kushboo,Dubbing Janaki,1,0,1,0,0,0,0,0,0,0,0,0,other,
Captain Prabhakaran,,150 min,"Action, Thriller",7.0,212.0,R.K. Selvamani,Mansoor Ali Khan,Sarath Kumar,Ramya Krishnan,0,1,0,0,0,1,0,0,0,0,0,0,other,
Captain Vidyut,,77 min,"Animation, Action, Comedy",7.7,11.0,Atish Tripathi,Namit Das,Trisha Kale,Suresh Menon,0,1,0,1,0,0,0,0,0,0,0,0,other,
Car Thief,,150 min,Action,7.0,13.0,Sameer Malkan,Suneil Anand,Vijayata Pandit,Kevin Mukherji,0,1,0,0,0,0,0,0,0,0,0,0,other,
Caravan,,161 min,"Action, Comedy, Musical",6.8,260.0,Nasir Hussain,Asha Parekh,Jeetendra,Aruna Irani,0,1,0,1,0,0,0,1,0,0,0,0,other,
Care of Footpath,,110 min,"Drama, Family",7.2,42.0,Kishan Shrikanth,Kishan Shrikanth,Jayashree Basavaraj,Jackie Shroff,1,0,0,0,0,0,1,0,0,0,0,0,other,
Cargo,,119 min,"Drama, Fantasy, Sci-Fi",5.7,,Arati Kadav,Vikrant Massey,Shweta Tripathi,Nandu Madhav,1,0,0,0,0,0,0,0,0,0,0,1,other,
Cartography of Loneliness,,69 min,"Documentary, Biography",6.2,5.0,Nocem Collado,,,,0,0,0,0,0,0,0,0,0,0,0,0,other,
Cash,,137 min,"Action, Crime, Thriller",3.4,,Anubhav Sinha,Ajay Devgn,Sunil Shetty,Zayed Khan,0,1,0,0,1,1,0,0,0,0,0,0,other,
CC2C,,154 min,"Action, Adventure, Comedy",4.1,,Nikkhil Advani,Akshay Kumar,Deepika Padukone,Chia-Hui Liu,0,1,0,1,0,0,0,0,1,0,0,0,other,
Cecilia,,83 min,Documentary,7.9,31.0,Pankaj Johar,Cecilia,Pankaj Johar,Rishi Kant,0,0,0,0,0,0,0,0,0,0,0,0,other,
Celluloid Man,,164 min,Documentary,7.8,162.0,Shivendra Singh Dungarpur,U.R. Ananthamurthy,G. Ananthappa,Beena Antony,0,0,0,0,0,0,0,0,0,0,0,0,other,
Censor,,165 min,Drama,3.5,122.0,Dev Anand,Dev Anand,Hema Malini,Shammi Kapoor,1,0,0,0,0,0,0,0,0,0,0,0,Dev Anand,
Cha Cha Cha,,,"Musical, Romance",5.2,21.0,Chandrashekhar,Chandrashekhar,Helen,Om Prakash,0,0,1,0,0,0,0,1,0,0,0,0,other,
Chaahat,,151 min,"Drama, Romance",5.5,,Mahesh Bhatt,Naseeruddin Shah,Shah Rukh Khan,Pooja Bhatt,1,0,1,0,0,0,0,0,0,0,0,0,Mahesh Bhatt,
Chaahat Ek Nasha...,,140 min,"Drama, Romance, Thriller",3.9,74.0,Surya Prakash,Jayprakkash Shaw,Aryan Vaid,Manisha Koirala,1,0,1,0,0,1,0,0,0,0,0,0,other,
Chaalbaaz,,155 min,"Action, Comedy, Drama",6.8,,Pankaj Parashar,Sridevi,Sunny Deol,Rajinikanth,1,1,0,1,0,0,0,0,0,0,0,0,other,
Chaalbaaz,,117 min,Action,5.8,17.0,Gautam Verma,Rajat Bedi,Mithun Chakraborty,Dinesh Hingoo,0,1,0,0,0,0,0,0,0,0,0,0,other,
Chaalis Chauraasi,,120 min,"Comedy, Crime",6.1,474.0,Hriday Shetty,Naseeruddin Shah,Kay Kay Menon,Atul Kulkarni,0,0,0,1,1,0,0,0,0,0,0,0,other,
Chaalu Mera Naam,,,"Action, Crime",5.8,5.0,Krishna Naidu,Vinod Mehra,Vidya Sinha,Mahendra Sandhu,0,1,0,0,1,0,0,0,0,0,0,0,other,
Chaalu Pe Chaalu,,,,4.3,11.0,Krishna Ghattamaneni,Jayamalini,Sridevi,,0,0,0,0,0,0,0,0,0,0,0,0,other,
Chaand Kaa Tukdaa,,155 min,"Action, Comedy, Crime",4.0,603.0,Saawan Kumar Tak,Sridevi,Salman Khan,Anupam Kher,0,1,0,1,1,0,0,0,0,0,0,0,Saawan Kumar Tak,
Chaani,,136 min,Drama,7.7,26.0,Shantaram Rajaram Vankudre,Ranjana,Siddharth,Yashwant Dutt,1,0,0,0,0,0,0,0,0,0,0,0,Shantaram Rajaram Vankudre,
Chaar Din Ki Chandni,,131 min,"Comedy, Romance",4.1,393.0,Samir Karnik,Tusshar Kapoor,Kulraj Randhawa,Anupam Kher,0,0,1,1,0,0,0,0,0,0,0,0,other,
Chaar Maharathi,,137 min,Action,4.5,8.0,S. Waris Ali,Tina Ambani,Master Bunty,Mithun Chakraborty,0,1,0,0,0,0,0,0,0,0,0,0,other,
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,,134 min,Animation,8.6,656.0,Harry Baweja,Harman Baweja,Pawan Kalra,Om Puri,0,0,0,0,0,0,0,0,0,0,0,0,other,
Chaarfutiya Chhokare,,119 min,"Drama, Thriller",5.9,38.0,Manish Harishankar,Soha Ali Khan,Zakir Hussain,Seema Biswas,1,0,0,0,0,1,0,0,0,0,0,0,other,
Chacha Bhatija,,161 min,"Action, Comedy, Drama",5.8,213.0,Manmohan Desai,Dharmendra,Hema Malini,Randhir Kapoor,1,1,0,1,0,0,0,0,0,0,0,0,Manmohan Desai,
Chacha Zindabad,,,Comedy,7.2,12.0,J. Om Prakash,Kishore Kumar,Anita Guha,Master Bhagwan,0,0,0,1,0,0,0,0,0,0,0,0,J. Om Prakash,
Chachi 420,,155 min,"Comedy, Drama, Family",7.4,,Kamal Haasan,Kamal Haasan,Amrish Puri,Om Puri,1,0,0,1,0,0,1,0,0,0,0,0,other,
Chahat,,,"Drama, Romance",5.8,10.0,Moni Bhattacharjee,Biswajit Chatterjee,Mala Sinha,Jeetendra,1,0,1,0,0,0,0,0,0,0,0,0,other,
Chahoonga Main Tujhe,,,"Drama, Romance",6.3,12.0,Kamal,Kamal Master,Shafi Inamdar,Irfan Kamal,1,0,1,0,0,0,0,0,0,0,0,0,other,
Chai Coffee,,49 min,"Drama, Romance",7.9,11.0,Ayush Upadhyay,Ayush Upadhyay,Mansi Singh,Megha Jha,1,0,1,0,0,0,0,0,0,0,0,0,other,
Chai Pani Etc.,,92 min,Comedy,4.7,24.0,Manu Rewal,Konkona Sen Sharma,Zafar Karachiwala,Gaurav Kapoor,0,0,0,1,0,0,0,0,0,0,0,0,other,
Chain Kulii Ki Main Kulii,,118 min,"Comedy, Drama, Family",5.6,,Karanjeet Saluja,Zain Khan,Rahul Bose,Kapil Dev,1,0,0,1,0,0,1,0,0,0,0,0,other,
Chaitali,,,Drama,6.0,39.0,Hrishikesh Mukherjee,Dharmendra,Saira Banu,Bindu,1,0,0,0,0,0,0,0,0,0,0,0,Hrishikesh Mukherjee,
Chak De! India,,153 min,"Drama, Family, Sport",8.2,,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,1,0,0,0,0,0,1,0,0,0,0,0,other,
Chakachak,,,Drama,3.9,7.0,Sai Paranjape,Asrani,Veeni Paranjape Joglekar,Javed Khan,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chakkar Pe Chakkar,,138 min,"Action, Comedy, Crime",5.6,27.0,Ashok Roy,Shashi Kapoor,Rekha,Pran,0,1,0,1,1,0,0,0,0,0,0,0,other,
Chakra,,140 min,Action,6.8,141.0,Rabindra Dharmaraj,Savita Bajaj,Arun Bakshi,Suresh Bhagwat,0,1,0,0,0,0,0,0,0,0,0,0,other,
Chakra the Invincible,,,Action,6.4,19.0,Vikramaditya Motwane,,,,0,1,0,0,0,0,0,0,0,0,0,0,other,
Chakradhaar,,120 min,Action,4.2,28.0,Dharam Prakash,Shakur Sir,Abishek Anand,Zakir Hussain,0,1,0,0,0,0,0,0,0,0,0,0,other,
Chakravyuh,,152 min,"Action, Drama, Thriller",6.8,,Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee,1,1,0,0,0,1,0,0,0,0,0,0,other,
Chakravyuha,,130 min,"Action, Mystery, Thriller",6.4,40.0,Basu Chatterjee,Rajesh Khanna,Neetu Singh,Vinod Mehra,0,1,0,0,0,1,0,0,0,1,0,0,Basu Chatterjee,
Chal Baaz,,,Action,6.0,8.0,Nanabhai Bhatt,Nirupa Roy,Paidi Jairaj,Nishi,0,1,0,0,0,0,0,0,0,0,0,0,other,
Chal Bhaag,,111 min,Comedy,3.8,101.0,Prakash Saini,Deepak Dobriyal,Taran Bajaj,Keeya Khanna,0,0,0,1,0,0,0,0,0,0,0,0,other,
Chal Chala Chal,,138 min,"Action, Comedy, Crime",4.6,292.0,Rajeev Kumar,Asrani,Asif Basra,Kaluram Dhobale,0,1,0,1,1,0,0,0,0,0,0,0,other,
Chal Chalein,,,Drama,6.3,26.0,Ujjwal Singh,Javed Abedi,Anand Abhyankar,Adityansh,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chal Guru Ho Jaa Shuru,,127 min,Comedy,4.9,45.0,Manoj Sharma,Pawan Kumar Sharma,Vrajesh Hirjee,Brijendra Kala,0,0,0,1,0,0,0,0,0,0,0,0,other,
Chal Mere Bhai,,136 min,"Comedy, Romance",4.7,,David Dhawan,Sanjay Dutt,Salman Khan,Karisma Kapoor,0,0,1,1,0,0,0,0,0,0,0,0,David Dhawan,
Chal Pichchur Banate Hain,,115 min,"Comedy, Drama",6.1,47.0,Pritish Chakraborty,Sonam Arora,Sagar Bhangade,Mukesh S. Bhatt,1,0,0,1,0,0,0,0,0,0,0,0,other,
Chala Murari Hero Banne,,128 min,"Comedy, Musical, Romance",7.0,66.0,Asrani,Asrani,Bindiya Goswami,Satyendra Kapoor,0,0,1,1,0,0,0,1,0,0,0,0,other,
Chala Mussaddi - Office Office,,60 min,"Comedy, Drama",6.1,346.0,Rajiv Mehra,Deven Bhojani,Makrand Deshpande,Vinay Jain,1,0,0,1,0,0,0,0,0,0,0,0,other,
Chalaak,,,"Action, Crime, Drama",5.6,7.0,R.K. Bannerjee,T.N. Sharma,Kiran Kumar,Alka,1,1,0,0,1,0,0,0,0,0,0,0,other,
Chalbaaz,,,Action,5.6,5.0,Mumtaz Begum,Habib,Shyam Kumar,Vijay Kumar,0,1,0,0,0,0,0,0,0,0,0,0,other,
Chale Chalo: The Lunacy of Film Making,,150 min,Documentary,8.6,336.0,Satyajit Bhatkal,Ashutosh Gowariker,Aamir Khan,Gracy Singh,0,0,0,0,0,0,0,0,0,0,0,0,other,
Chalk N Duster,,130 min,Drama,6.5,676.0,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar,1,0,0,0,0,0,0,0,0,0,0,0,other,
Challo Driver,,95 min,Comedy,5.9,185.0,Vickrant Mahajan,Vickrant Mahajan,Kainaz Motivala,Prem Chopra,0,0,0,1,0,0,0,0,0,0,0,0,other,
Chalo Dilli,,155 min,"Comedy, Drama",6.8,,Shashant Shah,Vinay Pathak,Lara Dutta,Yana Gupta,1,0,0,1,0,0,0,0,0,0,0,0,other,
Chalo Ishq Ladaaye,,140 min,"Action, Comedy, Romance",4.4,522.0,Aziz Sejawal,Govinda,Kader Khan,Rani Mukerji,0,1,1,1,0,0,0,0,0,0,0,0,other,
Chaloo Movie,,,Comedy,4.1,44.0,Vinod Pande,Rajpal Yadav,Shekhar Suman,Sayali Bhagat,0,0,0,1,0,0,0,0,0,0,0,0,other,
Chalta Hai Yaar,,,Comedy,6.3,7.0,Mahesh Tillekar,Raghuvir Yadav,Himani Shivpuri,Sanjay Narvekar,0,0,0,1,0,0,0,0,0,0,0,0,other,
Chalta Purza,,150 min,"Action, Thriller",6.0,39.0,Bhappi Sonie,Rajesh Khanna,Parveen Babi,Rakesh Roshan,0,1,0,0,0,1,0,0,0,0,0,0,other,
Chalte Chalte,,167 min,"Drama, Romance",6.6,,Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora,1,0,1,0,0,0,0,0,0,0,0,0,other,
Chalte Chalte,,100 min,"Romance, Thriller",5.7,54.0,Sunder Dar,Simi Garewal,Bhisham Kohli,Nazneen,0,0,1,0,0,1,0,0,0,0,0,0,other,
Chalti Duniya,,,,7.1,8.0,Gunjal,B. Marzban,Rafiq Ghaznavi,,0,0,0,0,0,0,0,0,0,0,0,0,other,
Chalti Ka Naam Gaadi,,173 min,"Comedy, Musical, Romance",8.0,,Satyen Bose,Ashok Kumar,Madhubala,Anoop Kumar,0,0,1,1,0,0,0,1,0,0,0,0,Satyen Bose,
Chalti Ka Naam Zindagi,,,Drama,6.3,11.0,Kishore Kumar,Rita Bhaduri,Master Bhagwan,Harindranath Chattopadhyay,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chaman Bahaar,,111 min,"Comedy, Drama",7.0,,Apurva Dhar Badgaiyann,Jitendra Kumar,Ritika Badiani,Bhuvan Arora,1,0,0,1,0,0,0,0,0,0,0,0,other,
Chamatkar,,171 min,"Comedy, Drama, Fantasy",6.6,,Rajiv Mehra,Naseeruddin Shah,Shah Rukh Khan,Urmila Matondkar,1,0,0,1,0,0,0,0,0,0,0,1,other,
Chambal Ke Daku,,,"Action, Thriller",5.8,5.0,Birbal,Ramesh Deo,Javed Khan,Madhu Malini,0,1,0,0,0,1,0,0,0,0,0,0,other,
Chambal Ki Kasam,,,"Action, Crime",5.3,24.0,Ram Maheshwari,Pradeep Kumar,Raaj Kumar,Shatrughan Sinha,0,1,0,0,1,0,0,0,0,0,0,0,other,
Chambal Ki Rani,,,"Action, Crime",8.6,5.0,Radhakant,Mahendra Sandhu,Bindu,Dara Singh,0,1,0,0,1,0,0,0,0,0,0,0,other,
Chameli,,108 min,Drama,7.0,,Sudhir Mishra,Kareena Kapoor,Rahul Bose,Rinke Khanna,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chameli Ki Shaadi,,136 min,"Comedy, Drama, Romance",7.5,,Basu Chatterjee,Anil Kapoor,Amrita Singh,Om Prakash,1,0,1,1,0,0,0,0,0,0,0,0,Basu Chatterjee,
Chamku,,105 min,"Action, Crime, Thriller",4.0,529.0,Kabeer Kaushik,Bobby Deol,Priyanka Chopra Jonas,Irrfan Khan,0,1,0,0,1,1,0,0,0,0,0,0,other,
Champakali,,,"Drama, Fantasy",5.5,8.0,Nandlal Jaswantlal,Bharat Bhushan,Suchitra Sen,Pran,1,0,0,0,0,0,0,0,0,0,0,1,other,
Champakali,,,Action,3.6,7.0,Rajni Chandra,Jack Gaud,Shakti Kapoor,Razak Khan,0,1,0,0,0,0,0,0,0,0,0,0,other,
Champion,,140 min,"Action, Comedy, Drama",4.3,519.0,Padam Kumar,Jana Sue Memel,Sunny Deol,Prasant Samadhar,1,1,0,1,0,0,0,0,0,0,0,0,other,
Chanakya,,147 min,"Action, Adventure, Thriller",5.5,521.0,Thiru,Mehreen Pirzada,Nassar,Zareen Khan,0,1,0,0,0,1,0,0,1,0,0,0,other,
Chanakya the Warrior,,,"Action, Comedy, Crime",4.7,10.0,A. Venkatesh,Vincent Ashokan,Salim Ghouse,Cochin Hanifa,0,1,0,1,1,0,0,0,0,0,0,0,other,
Chance Pe Dance,,122 min,"Comedy, Drama, Music",4.7,,Ken Ghosh,Shahid Kapoor,Genelia D'Souza,Mohnish Bahl,1,0,0,1,0,0,0,0,0,0,0,0,other,
Chanchal,,,"Drama, Musical",4.0,24.0,Indrajit Singh,Bobby Kumar,Armaan Shahabi,Gracy Singh,1,0,0,0,0,0,0,1,0,0,0,0,other,
Chand,,149 min,Drama,6.8,13.0,Lekhraj Bhakri,Balraj Sahni,Manoj Kumar,Meena Kumari,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chand Aur Suraj,,154 min,"Crime, Drama, Mystery",6.4,24.0,Dulal Guha,Ashok Kumar,Dharmendra,Nirupa Roy,1,0,0,0,1,0,0,0,0,1,0,0,other,
Chand Bujh Gaya,,116 min,"Drama, Thriller",6.8,52.0,Sharique Minhaj,Mukesh Ahuja,Ishrat Ali,Aliza,1,0,0,0,0,1,0,0,0,0,0,0,other,
Chand Ke Paar Chalo,,169 min,Romance,6.7,35.0,Mustafa Engineer,Somesh Agarwal,Shahib Chopra,Kannu Gill,0,0,1,0,0,0,0,0,0,0,0,0,other,
Chand Par Chadayee,,150 min,"Adventure, Comedy, Drama",5.0,20.0,T.R. Sundaram,Dara Singh,Anwar Hussain,Master Bhagwan,1,0,0,1,0,0,0,0,1,0,0,0,other,
Chand Sa Roshan Chehra,,120 min,Romance,4.7,54.0,Shahab Shamsi,Samir Aftab,Talat Aziz,Tamannaah Bhatia,0,0,1,0,0,0,0,0,0,0,0,0,other,
Chanda Aur Bijli,,137 min,Drama,4.8,16.0,Atma Ram,Sanjeev Kumar,Padmini,Jeevan,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chandaal,,,"Action, Drama",5.7,42.0,T.L.V. Prasad,Kasam Ali,Amrish,Asrani,1,1,0,0,0,0,0,0,0,0,0,0,T.L.V. Prasad,
Chandaal Atma,,129 min,Horror,4.6,9.0,S.R. Pratap,Aparna,Rakesh Bedi,Sudhir Dalvi,0,0,0,0,0,0,0,0,0,0,1,0,other,
Chandan Ka Palna,,166 min,Drama,6.7,43.0,Ismail Memon,Meena Kumari,Dharmendra,Mehmood,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chandanachi Choli Anga Anga Jali,,140 min,,6.3,10.0,Shantaram Rajaram Vankudre,Ramesh Deo,Bhalchandra Kulkarni,Govind Kulkarni,0,0,0,0,0,0,0,0,0,0,0,0,Shantaram Rajaram Vankudre,
Chandi Sona,,,"Action, Thriller",5.8,42.0,Sanjay Khan,Sanjay Khan,Parveen Babi,Prem Nath,0,1,0,0,0,1,0,0,0,0,0,0,other,
Chandidas,,128 min,,6.6,5.0,Nitin Bose,K.L. Saigal,Umasashi,Pahadi Sanyal,0,0,0,0,0,0,0,0,0,0,0,0,other,
Chandni,,186 min,"Drama, Musical, Romance",6.8,,Yash Chopra,Sridevi,Rishi Kapoor,Vinod Khanna,1,0,1,0,0,0,0,1,0,0,0,0,Yash Chopra,
Chandni Bar,,150 min,"Crime, Drama",7.6,,Madhur Bhandarkar,Tabu,Atul Kulkarni,Rajpal Yadav,1,0,0,0,1,0,0,0,0,0,0,0,other,
Chandni Chowk,,,"Drama, Family",5.6,9.0,B.R. Chopra,Meena Kumari,Shekhar,Jeevan,1,0,0,0,0,0,1,0,0,0,0,0,other,
Chandra,,207 min,Drama,6.9,39.0,S.S. Vasan,Rajkumari,M.K. Radha,Ranjan,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chandra Mukhi,,152 min,"Comedy, Fantasy, Romance",4.0,676.0,Debaloy Dey,Maya Alagh,Tinnu Anand,Mohnish Bahl,0,0,1,1,0,0,0,0,0,0,0,1,other,
Chandrahas,,136 min,"Action, Adventure, Drama",4.3,26.0,Shiva Shakti Datta,Abbas,Abhinayasri,Sharat Babu,1,1,0,0,0,0,0,0,1,0,0,0,other,
Chandrasena,,136 min,Adventure,4.1,11.0,Shantaram Rajaram Vankudre,Nalini Tarkhad,Sureshbabu Mane,Rajani,0,0,0,0,0,0,0,0,1,0,0,0,Shantaram Rajaram Vankudre,
Chandrashekhar,,,Drama,5.4,17.0,Debaki Bose,Chhabi Biswas,Bharati Devi,Kanan Devi,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chandrawal,,109 min,Drama,8.3,39.0,Jayant Prabhakar,Usha Sharma,Jagat Singh Jakhar,Raju Maan,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chandu,,136 min,Romance,6.9,70.0,P.A. Arun Prasad,Sudeep,Sonia Agarwal,Srinath,0,0,1,0,0,0,0,0,0,0,0,0,other,
Changez Khan,,135 min,"Action, Adventure, History",7.1,20.0,Kedar Kapoor,Prem Nath,Bina Rai,Sheikh Mukhtar,0,1,0,0,0,0,0,0,1,0,0,0,Kedar Kapoor,
Chann Pardesee,,147 min,Drama,8.1,60.0,Chitraarth,Raj Babbar,Rama Vij,Kulbhushan Kharbanda,1,0,0,0,0,0,0,0,0,0,0,0,other,
Chapekar Brothers,,,History,6.6,17.0,Devender Kumar Pandey,Kanchan Awasthi,Abhijit Bhagat,Manoj Bhatt,0,0,0,0,0,0,0,0,0,0,0,0,other,
