name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_adventure,genre_mystery,genre_horror,genre_fantasy,director_top,runtime
Jungle,,146 min,"Action, Adventure, Romance",6.1,,Ram Gopal Varma,Sunil Shetty,Fardeen Khan,Urmila Matondkar,0,1,1,0,0,0,0,0,1,0,0,0,Ram Gopal Varma,
Jungle Beauty,,,"Action, Adventure",3.7,11.0,Dilip Gulati,Joshina,Rajeev Kumar,Puneet Issar,0,1,0,0,0,0,0,0,1,0,0,0,other,
Jungle Hero,,,"Action, Comedy",4.9,7.0,K.I. Sheikh,Amit Pachori,Kirti Shetty,Sapna Sappu,0,1,0,1,0,0,0,0,0,0,0,0,other,
Jungle Ki Beti,,,Adventure,3.3,11.0,R. Thakur,Salma Agha,Arjun,Brando Bakshi,0,0,0,0,0,0,0,0,1,0,0,0,other,
Jungle Ki Rani,,,Adventure,2.8,15.0,Nandlal Jaswantlal,,,,0,0,0,0,0,0,0,0,1,0,0,0,other,
Jungle Ki Sherni,,,"Action, Adventure, Drama",5.5,12.0,Kanti Shah,Sapna Sappu,Amit Pachori,Vinod Tripathi,1,1,0,0,0,0,0,0,1,0,0,0,Kanti Shah,
Jungle Love Story,,133 min,Romance,6.2,6.0,Dilip Gulati,Raza Murad,Amrit Pal,Raju Srivastava,0,0,1,0,0,0,0,0,0,0,0,0,other,
Junglee,,139 min,"Comedy, Drama, Musical",7.3,467.0,Subodh Mukherji,Shammi Kapoor,Saira Banu,Shashikala,1,0,0,1,0,0,0,1,0,0,0,0,other,
Junglee,,115 min,"Action, Adventure, Thriller",5.6,,Chuck Russell,Vidyut Jammwal,Lars Kjeldsen,Asha Bhat,0,1,0,0,0,1,0,0,1,0,0,0,other,
Junko,,78 min,Crime,3.1,8.0,Abhinav Thakur,Neelam Deysarkar,Aayush Thakur,Aarav Mavi,0,0,0,0,1,0,0,0,0,0,0,0,other,
Junoon,,141 min,Drama,7.6,503.0,Shyam Benegal,Shashi Kapoor,Nafisa Ali,Shabana Azmi,1,0,0,0,0,0,0,0,0,0,0,0,Shyam Benegal,
Junoon,,123 min,"Drama, Horror, Musical",5.6,531.0,Mahesh Bhatt,Rahul Roy,Pooja Bhatt,Avinash Wadhawan,1,0,0,0,0,0,0,1,0,0,1,0,Mahesh Bhatt,
Junoon,,,Drama,4.2,12.0,Sanjay Khanna,Chandrachur Singh,Shilpa Shetty Kundra,Sonali Kulkarni,1,0,0,0,0,0,0,0,0,0,0,0,other,
Junooniyat,,155 min,"Drama, Romance",4.2,708.0,Vivek Agnihotri,Pulkit Samrat,Yami Gautam,Gulshan Devaiah,1,0,1,0,0,0,0,0,0,0,0,0,other,
Jurm,,103 min,"Action, Crime, Romance",5.6,129.0,Mahesh Bhatt,Vinod Khanna,Meenakshi Sheshadri,Sangeeta Bijlani,0,1,1,0,1,0,0,0,0,0,0,0,Mahesh Bhatt,
Jurm,,150 min,"Crime, Drama, Mystery",5.4,482.0,Vikram Bhatt,Kamal Adib,Bobby Deol,Lara Dutta,1,0,0,0,1,0,0,0,0,1,0,0,Vikram Bhatt,
Jurmana,,139 min,"Drama, Romance",6.8,176.0,Hrishikesh Mukherjee,Rakhee Gulzar,Amitabh Bachchan,Shreeram Lagoo,1,0,1,0,0,0,0,0,0,0,0,0,Hrishikesh Mukherjee,
Jurmana,,134 min,Action,5.4,31.0,T.L.V. Prasad,Mithun Chakraborty,Rambha,Ashwini Bhave,0,1,0,0,0,0,0,0,0,0,0,0,T.L.V. Prasad,
Jurrat,,146 min,"Action, Crime",4.6,23.0,David Dhawan,Shatrughan Sinha,Kumar Gaurav,Amala Akkineni,0,1,0,0,1,0,0,0,0,0,0,0,David Dhawan,
Just Like That,,109 min,Drama,7.9,30.0,Kislay,Trimala Adhikari,Harish Khanna,Mohini Sharma,1,0,0,0,0,0,0,0,0,0,0,0,other,
Just Married: Marriage Was Only the Beginning!,,135 min,"Comedy, Drama, Romance",5.3,495.0,Meghna Gulzar,Fardeen Khan,Esha Deol,Neelima Azim,1,0,1,1,0,0,0,0,0,0,0,0,other,
