name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
Kadhal Desam,,158 min,"Comedy, Drama, Romance",6.8,458.0,Kathir,Abbas,S.P. Balasubrahmanyam,Chaplin Balu
Kadhal Mannan,,135 min,"Drama, Romance",7.1,789.0,Saran,Ajith Kumar,Maanu,M.S. Viswanathan
Kadke Kamal Ke,,136 min,Comedy,6.8,5.0,Laxman Singh,Aaryan Adhikari,Neeta Dhungana,Rajpal Yadav
Kadvi Hawa,,95 min,Drama,8.1,985.0,Nila Madhab Panda,Nilamadhab Panda,Sanjay Mishra,Ranvir Shorey
Kafan,,147 min,Horror,5.8,48.0,Dhirendra Bohra,Javed Khan,Jamuna,Viju Khote
Kagaar: Life on the Edge,,150 min,"Crime, Drama",5.7,50.0,N. Chandra,Om Puri,Nandita Das,Amitabh Dayal
Kahaani,,122 min,"Mystery, Thriller",8.1,,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta
Kahaani 2,,127 min,"Mystery, Thriller",6.6,,Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj
Kahaani Gudiya Ki...: True Story of a Woman,,112 min,"Biography, Drama",5.8,32.0,Prabhakar Shukla,Divya Dutta,Arif Zakaria,Rajpal Yadav
Kahan Hai Kanoon,,131 min,Action,6.9,7.0,Deepak Balraj Vij,Sadashiv Amrapurkar,Anand Balraj,Sudhir Dalvi
Kahan Ho Tum,,,"Drama, Family",3.9,22.0,Vijay Kumar,Ishita Arun,Samir Soni,Sharman Joshi
Kahan Kahan Se Guzar,,,"Drama, Musical",5.4,10.0,Anil Kapoor,,,
Kahan Kahan Se Guzar Gaya,,,Drama,5.3,11.0,M.S. Sathyu,Masood Akhtar,Ajoy Bannerjee,Enakshi Bannerjee
Kahani Ek Chor Ki,,138 min,"Action, Crime",5.2,9.0,S. Ramanathan,Asrani,Master Bhagwan,Chandrashekhar
Kahani Hum Subb Ki,,,"Drama, Romance",3.1,9.0,Rajkumar Kohli,Mala Sinha,Om Prakash,Arun Chopra
Kahani Kismat Ki,,131 min,"Action, Drama",6.0,90.0,Arjun Hingorani,Dharmendra,Rekha,Ajit
Kahani Kismat Ki,,,Action,4.9,8.0,Farogh Siddique,Laxmikant Berde,Mithun Chakraborty,Shama Deshpande
Kahin Aur Chal,,,Drama,6.9,14.0,Vijay Anand,Dev Anand,Asha Parekh,Shubha Khote
Kahin Din Kahin Raat,,165 min,"Action, Crime, Thriller",5.6,14.0,Darshan Sabharwal,Biswajit Chatterjee,Sapana,Pran
Kahin Hai Mera Pyar,,138 min,"Drama, Musical, Romance",5.7,18.0,Mahesh Vaijnath Doijode,Manas Das,Eesha Agarwal,Gajendra Chauhan
Kahin Pyaar Na Ho Jaaye,,120 min,Comedy,7.5,24.0,Kalpataru,Shakila,Mehmood,Om Prakash
Kaho Naa... Pyaar Hai,,172 min,"Action, Musical, Romance",6.9,,Rakesh Roshan,Hrithik Roshan,Ameesha Patel,Anupam Kher
Kahtey Hain Mujhko Raja,,,"Action, Family",5.2,21.0,Biswajit Chatterjee,Dharmendra,Biswajit Chatterjee,Hema Malini
Kai Kodukkam Kai,,131 min,"Action, Drama",6.3,75.0,J. Mahendran,Chinnijayanth,Y.G. Mahendran,Rajinikanth
Kai Po Che,,120 min,"Drama, Sport",7.8,,Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao
Kairee,,93 min,Drama,5.4,104.0,Amol Palekar,Yogita Deshmukh,Shilpa Navalkar,Mohan Gokhale
Kaisay Kahein...,,123 min,"Drama, Romance",6.2,54.0,Mohit Hussein,Rajvirr Singh,Neha Julka,Aditi Govitrikar
Kaise Kahoon,,,Drama,6.6,11.0,Atma Ram,Biswajit Chatterjee,Nanda,Om Prakash
Kaise Kahoon Ke... Pyaar Hai,,,"Crime, Romance",3.3,34.0,Anil Kumar Sharma,Amit Hingorani,Sharbani Mukherjee,Dharmendra
Kaise Kaise Rishte,,,Romance,4.9,7.0,Akash Mehra,Ayesha Jhulka,Shahbaaz Khan,Vikas Anand
Kajarya,,132 min,Drama,6.6,131.0,Madhureeta Anand,Meenu Hooda,Ridhima Sud,Kuldeep Ruhil
Kajraare,,112 min,"Crime, Drama, Romance",2.8,404.0,Pooja Bhatt,Himesh Reshammiya,Sara Loren,Amrita Singh
Kajri,,84 min,Drama,6.0,48.0,Hyder Kazmi,Arpita Singh,,
Kaksparsh,,140 min,"Drama, Family, History",7.9,779.0,Mahesh Manjrekar,Sachin Khedekar,Priya Bapat,Abhijit Kelkar
Kal Aaj Aur Kal,,156 min,"Family, Musical, Romance",6.9,308.0,Randhir Kapoor,Prithviraj Kapoor,Raj Kapoor,Babita Kapoor
Kal Hamara Hai,,127 min,Drama,6.7,18.0,S.K. Prabhakar,Madhubala,Bharat Bhushan,Jayant
Kal Hamara Hai,,,Drama,5.9,9.0,Dhruv Lather,Shivangi Bhayana,Tarun Gahlot,Himanshu Kohli
Kal Ho Naa Ho,,186 min,"Comedy, Drama, Musical",7.9,,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan
Kal Ki Awaz,,162 min,Action,6.2,65.0,B.R. Chopra,Ravi Chopra,Dharmendra,Raj Babbar
Kal Kissne Dekha,,134 min,"Action, Crime, Romance",3.6,435.0,Vivek Sharma,Jackky Bhagnani,Nushrat Bharucha,David Bueno
Kal: Yesterday and Tomorrow,,120 min,"Drama, Mystery, Thriller",6.3,111.0,Ruchi Narain,Shiney Ahuja,Murad Ali,Ahmed Chaudhary
Kala Aadmi,,140 min,"Action, Drama, Mystery",6.0,7.0,Ved-Madan,Ashok Kumar,Shyama,Johnny Walker
Kala Bazaar,,160 min,"Action, Drama",5.5,203.0,Rakesh Roshan,Anil Kapoor,Jackie Shroff,Farha Naaz
Kala Bazar,,163 min,"Crime, Drama, Musical",7.4,262.0,Vijay Anand,Dev Anand,Waheeda Rehman,Nanda
Kala Coat,,,"Action, Crime, Drama",3.3,6.0,Mehmood Khan,Kapil Karzan,Meera Madhuri,Bandini Mishra
Kala Dhanda Goray Log,,158 min,"Drama, Family",5.7,35.0,Sanjay Khan,Sunil Dutt,Sanjay Khan,Anita Raj
Kala Jigar,,,nan,3.3,173.0,Iqbal,,,
Kala Pani,,164 min,"Crime, Musical, Romance",7.1,277.0,Raj Khosla,Dev Anand,Madhubala,Nalini Jaywant
Kala Pani,,126 min,Action,5.6,16.0,Shibu Mitra,Shashi Kapoor,Neetu Singh,Bindu
Kala Suraj,,,"Action, Drama",4.3,6.0,Desh Gautam,Shatrughan Sinha,Sulakshana Pandit,Rakesh Roshan
Kalaakaar,,,"Family, Romance",6.2,76.0,P. Sambasiva Rao,Kunal Goswami,Sridevi,Rakesh Bedi
Kalabaaz,,145 min,"Action, Adventure, Drama",6.4,29.0,Ashok Roy,Dev Anand,Zeenat Aman,Pradeep Kumar
Kalaignan,,143 min,"Action, Drama, Thriller",6.3,221.0,G.B. Vijay,Kamal Haasan,Bindiya,Farheen
Kalank,,,Drama,5.4,12.0,Michael Chinappa,,,
Kalank,,166 min,"Drama, Romance",3.6,,Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit
Kali Ganga,,,Action,4.0,16.0,Raj N. Sippy,Dimple Kapadia,Suresh Oberoi,Govinda
Kali Ghata,,145 min,"Drama, Romance",6.3,9.0,Kishore Sahu,Kishore Sahu,Bina Rai,Asha Mathur
Kali Ghata,,131 min,"Romance, Thriller, Mystery",5.8,33.0,Ved Rahi,Shashi Kapoor,Rekha,Danny Denzongpa
Kali Salwaar,,112 min,Drama,6.2,95.0,Fareeda Mehta,Sadiya Siddiqui,Irrfan Khan,Surekha Sikri
Kali Topi Lal Rumal,,129 min,"Musical, Romance",5.7,15.0,Tara Harish,Shakila,Chandrashekhar,Agha
Kalichaat,,70 min,Drama,8.0,6.0,Sudhanshu Sharma,Prakash Deshmukh,Virendra Kumar Nathenial,Geetika Shyam
Kalicharan,,143 min,"Action, Adventure, Crime",6.7,251.0,Subhash Ghai,Shatrughan Sinha,Reena Roy,Ajit
Kalicharan,,,Action,4.9,11.0,Imran Khalid,Ishrat Ali,Monica Bedi,Bob Christo
Kalidas,,,"Drama, History, Musical",6.2,12.0,H.M. Reddy,T.P. Rajalakshmi,P.G. Venkatesan,L.V. Prasad
Kalka,,,Drama,6.0,8.0,Loksen Lalvani,Shatrughan Sinha,Raj Babbar,Rameshwari
Kalloori Vaasal,,135 min,"Comedy, Romance",5.1,159.0,Pavithran,Ajith Kumar,Prashanth,Pooja Bhatt
Kalpana,,,Romance,7.1,19.0,R.K. Rakhan,Ashok Kumar,Padmini,Ragini
Kalpana,,122 min,Musical,6.7,39.0,Uday Shankar,Lakshmi Kanta,Usha Kiran,Lalitha
Kalsandhya,,124 min,Drama,7.2,13.0,Bhabendra Nath Saikia,Hemen Barman,Munin Barua,Mridula Baruah
Kalyug,,152 min,Drama,7.8,501.0,Shyam Benegal,Shashi Kapoor,Rekha,Raj Babbar
Kalyug,,126 min,"Action, Crime, Drama",6.5,,Mohit Suri,Kunal Khemu,Deepal Shaw,Smiley Suri
Kalyug Aur Ramayan,,,Drama,4.4,53.0,Babubhai Mistry,Manoj Kumar,Rajiv Goswami,Madhavi
Kalyug Ke Avtaar,,,"Action, Romance",3.2,13.0,Shyam Ralhan,Jeetendra,Reena Roy,Madhoo
Kama Sundari,,130 min,Thriller,5.2,17.0,Balvinder Sandhu,Monica Castelino,Nagesh Bhonsle,Satyendra Kapoor
Kamaal Dhamaal Malamaal,,148 min,"Comedy, Drama",4.1,750.0,Priyadarshan,Nana Patekar,Shreyas Talpade,Om Puri
Kamasutra 3D,,110 min,"Drama, Romance",6.5,510.0,Rupesh Paul,Mohan Kapur,Abha Paul,Makrand Deshpande
Kambakkht Ishq,,142 min,"Action, Comedy, Romance",3.9,,Sabir Khan,Sylvester Stallone,Denise Richards,Brandon Routh
Kaminey,,130 min,"Action, Crime, Drama",7.4,,Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra Jonas,Deb Mukherjee
Kamla,,120 min,Drama,7.1,55.0,Jag Mundhra,Shabana Azmi,Deepti Naval,Marc Zuber
Kamla Ki Maut,,95 min,Drama,7.2,212.0,Basu Chatterjee,Pankaj Kapur,Supriya Pathak,Roopa Ganguly
Kamlabai,,46 min,Documentary,7.6,8.0,Reena Mohan,Kamlabai Gokhale,,
Kamsin: The Untouched,,88 min,Drama,5.1,12.0,Amit Suryavanshi,Birbal,K.K. Goswami,Jyoti
Kan Kan Men Bhagwan,,124 min,"Adventure, Drama, Fantasy",5.8,10.0,Babubhai Mistry,Anita Guha,Mahipal,Ram Singh
Kanave Kalaiyadhe,,157 min,"Action, Drama",6.0,22.0,V. Gowthaman,Sabitha Anand,Charlie,Chinnijayanth
Kanch Ki Gudiya,,,"Drama, Family",4.7,7.0,Harnam Singh Rawail,Manoj Kumar,Sayeeda Khan,Shubha Khote
Kandy Twist,,113 min,Drama,8.2,8.0,Shiva Rindani,Dinero Ash,Pari Chaudhary,Greg de Sousa
Kaneez,,140 min,"Drama, History",6.2,5.0,Krishna Kumar,Munawwar Sultana,Shyam,Urmila
Kangan,,144 min,Mystery,6.8,9.0,Nanabhai Bhatt,Nirupa Roy,Ashok Kumar,Purnima
Kangan,,139 min,Drama,6.6,16.0,K.B. Tilak,Ashok Kumar,Mala Sinha,Sanjeev Kumar
Kanhaiya,,175 min,"Romance, Drama, Family",6.7,45.0,Om Prakash,Raj Kapoor,Nutan,Lalita Pawar
Kanhaiyaa,,,"Action, Crime, Drama",5.4,5.0,Khalid Sami,Master Amit,Master Chaitanya,Asha Chandra
Kanmani,,137 min,"Drama, Romance",3.7,7.0,R.K. Selvamani,Jaishankar,Mansoor Ali Khan,Lakshmi
Kannan Varuvaan,,135 min,Romance,5.8,39.0,Sundar C.,Karthik,Mantra,Divyaa Unni
Kanoon,,150 min,"Drama, Crime, Mystery",7.9,415.0,B.R. Chopra,Rajendra Kumar,Ashok Kumar,Nanda
Kanoon,,104 min,"Action, Drama",3.1,135.0,Sushma Shiromani,Ajay Devgn,Urmila Matondkar,Kiran Kumar
Kanoon Apna Apna,,162 min,"Action, Crime, Drama",5.6,146.0,Gopal B.,Dilip Kumar,Nutan,Sanjay Dutt
Kanoon Ki Hathkadee,,,Action,4.0,9.0,K. Bapaiah,Sridevi,Krishna,Gummadi
Kanoon Ki Zanjeer,,,"Action, Crime",4.2,11.0,P. Lakshman,Dharmendra,Jaya Prada,Raj Babbar
Kanoon Kya Karega,,,Thriller,6.2,45.0,Mukul Anand,Suresh Oberoi,Deepti Naval,Iftekhar
Kanoon Meri Mutthi Mein,,,Action,6.6,5.0,Chand,K. Prasad,Raj Babbar,Parveen Babi
Kanpuriye,,103 min,Drama,6.3,,Ashish Aryan,Aparshakti Khurana,Divyendu Sharma,Vijay Raaz
Kanwarlal,,150 min,"Action, Drama",4.6,18.0,S.S. Ravichandra,Salma Agha,Arjun,Raj Babbar
Kanyadaan,,149 min,"Drama, Romance",7.3,78.0,Mohan Segal,Asha Parekh,Shashi Kapoor,Sayeeda Khan
Kanyadaan,,114 min,Drama,6.9,17.0,Akshay Dinesh Vaishnav,Deepika Amin,Mrinmayee Godbole,Darshan Jariwala
Kaphal: Wild Berries,,90 min,"Action, Adventure, Drama",8.2,45.0,Batul Mukhtiar,Hema Bisht,Ramkishan Choyal,Subrat Dutta
Kapoor & Sons,,132 min,"Comedy, Drama, Family",7.7,,Shakun Batra,Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah
Karam,,117 min,"Action, Crime, Drama",5.5,,Sanjay F. Gupta,John Abraham,Priyanka Chopra Jonas,Bharat Dabholkar
Karamati Coat,,86 min,"Comedy, Family, Fantasy",7.1,182.0,Ajay Karthik,Prachi Save,Swapnesh Sawant,Vikram Acharya
Karamdaata,,,Drama,5.7,21.0,Shashilal K. Nair,Shammi Kapoor,Mithun Chakraborty,Amrita Singh
Karan,,120 min,Action,4.0,23.0,Shiv Kumar,Virender Razdan,Prem Chopra,Balwant Dullat
Karan Arjun,,175 min,"Action, Drama, Fantasy",6.8,,Rakesh Roshan,Rakhee Gulzar,Salman Khan,Shah Rukh Khan
Karar: The Deal,,115 min,Thriller,4.2,64.0,Sabir,Mahek Chahal,Tarun Arora,Shashi Wadia
Karate,,127 min,"Action, Drama, Musical",6.2,56.0,Deb Mukherjee,Mithun Chakraborty,Deb Mukherjee,Kaajal Kiran
Kareeb,,145 min,"Drama, Romance",6.5,,Vidhu Vinod Chopra,Bobby Deol,Shabana Raza,Abhay Chopra
Karim Mohammed,,99 min,Drama,4.8,30.0,Pawan Kumar Sharma,Alka Amin,Veer Gujjar,Rajesh Jais
Karishma Kali Kaa,,,Horror,4.1,13.0,Ashok Punjabi,Amrita Singh,Shatrughan Sinha,Urmila Bhatt
Karishma Kudrat Kaa,,185 min,"Action, Drama",6.1,57.0,Sunil Hingorani,Rati Agnihotri,Urmila Bhatt,Mithun Chakraborty
Karishmaa,,130 min,"Crime, Thriller",6.5,43.0,I.V. Sasi,Kamal Haasan,Reena Roy,Tina Ambani
Karle Pyaar Karle,,110 min,"Action, Romance",2.7,128.0,Rajesh Pandey,Shiv Darshan,Hasleen Kaur,Aham Sharma
Karm,,156 min,"Drama, Family",6.7,72.0,B.R. Chopra,Rajesh Khanna,Vidya Sinha,Shabana Azmi
Karma,,193 min,"Action, Adventure, Drama",7.4,,Subhash Ghai,Dilip Kumar,Nutan,Naseeruddin Shah
"Karma, Confessions and Holi",,110 min,Drama,2.9,125.0,Manish Gupta,Rati Agnihotri,Armin Amiri,Kulraaj Anand
Karma: Crime. Passion. Reincarnation,,97 min,"Crime, Drama, Mystery",5.0,105.0,M.R. Shahjahan,Alma S. Grey,Carl Weyant,Vijayendra Ghatge
Karmayogi,,,"Action, Drama",6.0,42.0,Ram Maheshwari,Mala Sinha,Raaj Kumar,Jeetendra
Karmveer,,,Action,7.6,15.0,Mohan Babu,Sarath Babu,Anjali Devi,Jayamalini
Karmyoddha,,,"Action, Drama",6.2,22.0,Dayal Nihalani,Raj Babbar,Dimple Kapadia,Javed Jaffrey
Karmyudh,,130 min,Action,4.4,16.0,Swaroop Kumar,Mithun Chakraborty,Anita Raj,Pran
Karobaar: The Business of Love,,180 min,"Drama, Romance",4.4,237.0,Rakesh Roshan,Juhi Chawla,Anil Kapoor,Rishi Kapoor
Karodpati,,,nan,6.3,9.0,Radhakrishan,Shashikala,K.N. Singh,
Kartavya,,,"Action, Drama, Thriller",5.0,58.0,Raj Kanwar,Sanjay Kapoor,Juhi Chawla,Moushumi Chatterjee
Kartavya,,168 min,"Action, Drama",7.0,55.0,Mohan Segal,Dharmendra,Rekha,Nirupa Roy
Karthik Calling Karthik,,135 min,"Drama, Mystery, Romance",7.1,,Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Ram Kapoor
Kartoos,,124 min,"Action, Thriller",5.1,514.0,Mahesh Bhatt,Sanjay Dutt,Jackie Shroff,Manisha Koirala
Kartooz,,97 min,"Action, Adventure",3.0,7.0,Panna Hossain,Faruque Azam,Anindita Chatterjee,Sumita Chatterjee
Karunamayudu,,160 min,"Biography, Drama, Family",7.7,37.0,A. Bhimsingh,Christopher Coelho,Chandramohan,Rajasulochana
Karwaan,,114 min,"Adventure, Comedy, Drama",7.6,,Akarsh Khurana,Irrfan Khan,Dulquer Salmaan,Mithila Palkar
Karwat,,,Action,3.8,5.0,Anil Ganguly,Mithun Chakraborty,Bindiya Goswami,Sujit Kumar
Karz,,159 min,"Action, Musical, Romance",7.5,,Subhash Ghai,Rishi Kapoor,Tina Ambani,Simi Garewal
Karz Chukana Hai,,,Drama,5.5,95.0,Vimal Kumar,Govinda,Juhi Chawla,Raj Kiran
Karz: The Burden of Truth,,173 min,"Action, Crime, Drama",3.9,390.0,Harry Baweja,Sunny Deol,Sunil Shetty,Shilpa Shetty Kundra
Karzzzz,,142 min,"Action, Drama, Musical",2.1,,Satish Kaushik,Himesh Reshammiya,Urmila Matondkar,Shweta Kumar
Kasaai,,96 min,Drama,6.6,29.0,Gajendra Shanker Shrotriya,Raman Atre,Ashok Banthia,Amit Bimrot
Kasak,,150 min,"Drama, Romance",5.1,27.0,K. Bapaiah,Aparajita,Asrani,Laxmikant Berde
Kasak,,107 min,Drama,4.5,63.0,Rajiv Babbar,Lucky Ali,Meera,Puneet Issar
Kasam,,157 min,"Action, Drama, Romance",5.1,53.0,Umesh Mehra,Master Bunty,Sudhir Dalvi,Ketki Dave
Kasam,,,"Action, Drama",2.9,105.0,Shibu Mitra,Naseeruddin Shah,Sunny Deol,Chunky Panday
Kasam Bhawani Ki,,,Action,6.4,5.0,Chand,M. Maroof,Yogeeta Bali,Vijayendra Ghatge
Kasam Khoon Ki,,,"Action, Thriller",5.3,10.0,Ashok Roy,Jeetendra,Sulakshana Pandit,Asrani
Kasam Paida Karne Wale Ki,,145 min,"Action, Drama",5.7,131.0,Babbar Subhash,Mithun Chakraborty,Smita Patil,Salma Agha
Kasam Suhag Ki,,,"Action, Crime, Drama",4.9,21.0,Mohan Segal,Dharmendra,Rekha,Suresh Oberoi
Kasam Tere Pyar Ki,,,Romance,5.6,7.0,S.S. Stanley,,,
Kasam Teri Kasam,,156 min,"Drama, Romance",4.3,15.0,Raman Kumar,Krishan Kumar,Kanchan,Kunickaa Sadanand
Kasam Vardi Kee,,,"Action, Crime",4.3,13.0,Shibu Mitra,Jeetendra,Bhanupriya,Chunky Panday
Kasauti,,131 min,"Drama, Romance",5.9,115.0,Aravind Sen,Hema Malini,Amitabh Bachchan,Pran
Kasba,,121 min,Drama,7.0,49.0,Kumar Shahani,Navjot Hansra,K.K. Raina,Manohar Singh
Kash... Aap Hamare Hote,,,"Family, Musical, Romance",5.0,86.0,Ravindra Peepat,Juhi Babbar,Sonu Nigam,Om Puri
Kashmakash,,134 min,"Action, Family, Mystery",5.4,13.0,Feroz Chinoy,Feroz Khan,Rekha,Shatrughan Sinha
Kashmir Daily,,148 min,"Drama, Thriller",6.7,23.0,Hussein Khan,Zameer Ashai,Shahid Gulfam,Hussein Khan
Kashmir Ki Kali,,168 min,"Comedy, Musical, Romance",7.1,487.0,Shakti Samanta,Shammi Kapoor,Sharmila Tagore,Pran
Kashmira,,,nan,2.7,9.0,Sukhdev Ahluwalia,Veena Kapoor,Monto,Rabia Nazki
Kashmoraa,,,Horror,6.6,25.0,Sarath Babu,Bhanupriya,Rajendra Prasad,
Kasme Vaade,,,"Action, Crime, Drama",6.6,411.0,Ramesh Behl,Rakhee Gulzar,Amitabh Bachchan,Randhir Kapoor
Kasoor,,151 min,"Drama, Mystery, Thriller",6.0,937.0,Vikram Bhatt,Divya Dutta,Sucheta Paushe,Lisa Ray
Kastoori,,100 min,Drama,8.7,31.0,Vinod Kamble,Samarth Sonawane,Shravan Upalakar,
Kasturi,,,Drama,5.6,11.0,Bimal Dutta,Agha,Mithun Chakraborty,Arvind Deshpande
Kath Putli,,152 min,"Drama, Family",6.9,29.0,Nitin Bose,Amiya Chakrabarty,Vyjayanthimala,Balraj Sahni
Katha,,141 min,"Comedy, Drama",7.8,,Sai Paranjape,Naseeruddin Shah,Farooq Shaikh,Deepti Naval
Kathor,,110 min,Drama,5.6,10.0,Karan Kashyap,Lalit Parimoo,Sheetal Dimri,Abhisek Pandey
Kathputli,,148 min,"Drama, Romance",6.9,34.0,Brij,Jeetendra,Mumtaz,Helen
Kati Patang,,167 min,"Drama, Family, Musical",7.2,946.0,Shakti Samanta,Rajesh Khanna,Asha Parekh,Prem Chopra
Katilon Ke Kaatil,,199 min,"Action, Comedy, Drama",6.4,92.0,Anil Hingorani,Arjun Hingorani,Dharmendra,Rishi Kapoor
Katiyabaaz,,84 min,"Documentary, Drama",7.8,485.0,Deepti Kakkar,Fahad Mustafa,Ritu Maheshwari,Loha Singh
Katputtli,,119 min,Thriller,5.6,24.0,Sanjay Khanna,Milind Soman,Mink Singh,Sameer Dharmadhikari
Katti Batti,,135 min,"Comedy, Drama, Romance",4.9,,Nikkhil Advani,Imran Khan,Kangana Ranaut,Suhaas Ahuja
Kaun Apna Kaun Paraya,,,"Drama, Family",4.7,9.0,Niranjan,Waheeda Rehman,Vijay Kumar,Johnny Walker
Kaun Hai Jo Sapno Mein Aaya,,127 min,Musical,5.1,46.0,Rajesh Bhatt,Richa Pallod,Anupam Kher,Kader Khan
Kaun Jeeta Kaun Haara,,119 min,"Comedy, Drama",5.9,29.0,Rakesh Kumar,Tinnu Anand,Amitabh Bachchan,Bhavana Balsawar
Kaun Kare Kurbanie,,154 min,"Action, Crime, Drama",3.2,49.0,Arjun Hingorani,Dharmendra,Govinda,Anita Raj
Kaun Kitney Paani Mein,,112 min,"Comedy, Drama, Family",6.1,458.0,Nila Madhab Panda,Kunal Kapoor,Radhika Apte,Saurabh Shukla
Kaun Kitney Pani Mein,,,"Action, Thriller",6.4,33.0,Shibu Mitra,Mahendra Sandhu,Brahmachari,Mohan Choti
Kaun Rokega Mujhe,,123 min,"Action, Thriller",3.8,18.0,Kamal Raj Bhasin,Coca Cola,Sadashiv Amrapurkar,Asrani
Kaun Sachcha Kaun Jhootha,,130 min,"Drama, Mystery, Thriller",5.5,101.0,Partho Ghosh,Rishi Kapoor,Sridevi,Suresh Oberoi
Kaun?,,90 min,"Mystery, Thriller",7.8,,Ram Gopal Varma,Urmila Matondkar,Manoj Bajpayee,Sushant Singh
Kaun? Kaisey?,,127 min,Crime,6.4,45.0,Neelu Arora,Beena Bannerjee,Bina,Ardhendu Bose
Kavi,,,Romance,3.6,8.0,Debaki Bose,Bharat Bhushan,Geeta Bali,Nalini Jaywant
Kavi Kalidas,,139 min,"Drama, Musical",7.1,17.0,S.N. Tripathi,Bharat Bhushan,Nirupa Roy,Anita Guha
Kaya Palat,,121 min,"Comedy, Fantasy",6.7,14.0,Satyen Bose,Suresh Chatwal,Anoop Kumar,Ashok Kumar
Kayda Kanoon,,150 min,"Action, Crime, Drama",5.0,504.0,Pradeep Maini,Akshay Kumar,Sudesh Berry,Ashwini Bhave
Kedarnath,,116 min,"Drama, Romance",6.9,,Abhishek Kapoor,Sushant Singh Rajput,Sara Ali Khan,Nitish Bharadwaj
Keemat,,132 min,Action,6.8,48.0,Ravikant Nagaich,Dharmendra,Rekha,Prem Chopra
Keemat: They Are Back,,162 min,"Action, Comedy, Drama",5.7,,Sameer Malkan,Akshay Kumar,Raveena Tandon,Saif Ali Khan
Kehta Hai Yeh Dil,,116 min,"Comedy, Drama",3.3,10.0,R.k. Sharma,Ranbeeir Kalsi,Sharvani Sahay,Elena Tuteja
Kehtaa Hai Dil Baar Baar,,119 min,"Comedy, Drama, Romance",4.7,182.0,Rahul Dholakia,Paresh Rawal,Jimmy Sheirgill,Kim Sharma
Kerry on Kutton,,125 min,Drama,5.7,216.0,Ashok Yadav,Bhavana Singh Chauhan,Satyajeet Dubey,Aradhana Jagota
Kesari,,150 min,"Action, Drama, History",7.4,,Anurag Singh,Akshay Kumar,Parineeti Chopra,Suvinder Vicky
Kevi Rite Jaish,,128 min,"Comedy, Family",8.1,869.0,Abhishek Jain,Tom Alter,Abhinay Banker,Raju Barot
Khaali Peeli,,119 min,"Action, Comedy, Romance",2.3,,Maqbool Khan,Ishaan Khattar,Ananya Panday,Jaideep Ahlawat
Khaan Dost,,157 min,"Action, Crime, Drama",5.6,38.0,Dulal Guha,Raj Kapoor,Shatrughan Sinha,Mithu Mukherjee
Khabardar,,167 min,Family,5.9,23.0,Rama Rao Tatineni,Amitabh Bachchan,Kamal Haasan,Jaya Prada
Khajoor Pe Atke,,119 min,Comedy,5.6,221.0,Harsh Chhaya,Vinay Pathak,Suneeta Sengupta,Alka Amin
Khakee,,174 min,"Action, Crime, Drama",7.4,,Rajkumar Santoshi,Amitabh Bachchan,Akshay Kumar,Ajay Devgn
Khal Nayak,,190 min,"Action, Adventure, Crime",7.2,,Subhash Ghai,Sanjay Dutt,Madhuri Dixit,Jackie Shroff
Khalifa,,140 min,"Action, Crime, Drama",5.7,15.0,Prakash Mehra,Randhir Kapoor,Rekha,I.S. Johar
Khallas: The Beginning of End,,121 min,"Crime, Drama, Romance",4.0,11.0,Sumeet Chawla,Nikita Anand,Sanjeev Dabholkar,Raj Hussein
Khallballi: Fun Unlimited,,,"Comedy, Thriller",5.8,18.0,Ajay Chandhok,Nikhil Dwivedi,Sada,Shruti Seth
Khalli Balli,,,"Comedy, Horror",5.2,5.0,Manoj Sharma,Kainaat Arora,Asrani,Mini Bansal
Khal-Naaikaa,,147 min,"Crime, Drama, Thriller",3.7,141.0,Saawan Kumar Tak,Jeetendra,Jaya Prada,Anu Agrawal
Khalnayak,,74 min,Action,6.3,12.0,Kishan Shah,Satnam Kaur,Kashish Khurana,Karishma
Khamiyaza: Journey of a Common Man,,130 min,"Action, Drama",4.6,20.0,Deekshit Kaul,Heramb Tripathi,Piyali Munshi,Alok Chaturvedi
Khamosh,,101 min,"Mystery, Thriller",7.5,944.0,Vidhu Vinod Chopra,Shabana Azmi,Amol Palekar,Naseeruddin Shah
Khamosh Adalat Jaari Hai,,100 min,Drama,7.7,52.0,Ritesh Menon,Nandita Das,Pravina Bhagwat Deshpande,Ajitesh Gupta
Khamoshh... Khauff Ki Raat,,123 min,"Mystery, Thriller",3.3,245.0,Deepak Tijori,Shilpa Shetty Kundra,Juhi Chawla,Shawar Ali
Khamoshi,,127 min,"Drama, Romance",7.7,546.0,Asit Sen,Rajesh Khanna,Waheeda Rehman,Nasir Hussain
Khamoshi,,96 min,"Horror, Thriller",3.5,239.0,Chakri Toleti,Prabhu Deva,Tamannaah Bhatia,Bhoomika Chawla
